ID,link,repo,message,why_category1,why_category2,why_subcategory1,why_subcategory2,what_category1,what_category2,what_subcategory1,what_subcategory2
139375,https://github.com/zulip/zulip/commit/8fcf2088159a335e1f0a89bea86ced870d83665f,,Use one template for all user presence rows,Missing Why,,,,,Describe Implementation Principle,,
142093,https://github.com/matplotlib/matplotlib/commit/de37bc581a92654bf9bae49d52527b53ddfc74b6,,Explicitly specify the dtype in np . full,Missing Why,,,,Summarize Code Object Change,,Object of change,
152837,https://github.com/home-assistant/core/commit/81b159f4242d88fd1b7915216743f46934c1cf4c,,Disable Hue groups for new setups ( ),Missing Why,,,,,Summarize Code Object Change,,Object of change
156183,https://github.com/localstack/localstack/commit/1962d8e25e7fdb2f0a805c7692bc712b423c0272,,minor : reduce log verbosity for chunk - based file downloads,,Describe Issue,,Describe shortcoming,Illustrate Function,,,
157514,https://github.com/zulip/zulip/commit/28dd7080c722eae2b512f5dda015a88a3dacdb1e,,docs : Add message editing policy to prod security section .,"Trivial
 Why",,Text file changes,,Summarize Code Object Change,,Object of change,
159341,https://github.com/matplotlib/matplotlib/commit/8cdc00a336b895bc78ca7e6e6cc26fd30987f7b8,,Add method to convert Animation to HTML5 video .,Imply Necessity,,Relation to an implemented feature,,Illustrate Function,,,
163239,https://github.com/python/cpython/commit/c2b87a6dff1edade6542a484cb9b9419b254c1ed,,Don ' t use StringType - - always test for basestring .,Imply Necessity,,Conventions and standards,,Describe Implementation Principle,,,
163652,https://github.com/numpy/numpy/commit/304d9b624745897bf3df13d7d368699066f3e70d,,Replacing list with generator compherension,Missing Why,,,,Summarize Code Object Change,,Contrast before and after,
166375,https://github.com/3b1b/manim/commit/568d02602cf8d908b8f13c7ef4b29b5483c77a54,,TransformFromCopy,Missing Why,,,,Summarize Code Object Change,,Object of change,
167619,https://github.com/explosion/spaCy/commit/b5a74f8ad2af878a49a24f4f3508a8db43d7260c,,Don ' t automatically include a data / directory .,Imply Necessity,,Conventions and standards,,Describe Implementation Principle,,,
170712,https://github.com/matplotlib/matplotlib/commit/f195c64e58fb93895db3283464c01d0d1030fd4d,,Backport PR : Reword the LockDraw docstring .,"Trivial
 Why",,Annotation changes,,,Summarize Code Object Change,,Object of change
171083,https://github.com/ansible/ansible/commit/18e7974021ac70e422961a80b9a303da14e3f5f4,,add mention of github . com / ginsys / ansible - plugins in contrib . rst,,Trivial Why,,Text file changes,Summarize Code Object Change,,Object of change,
172854,https://github.com/scikit-learn/scikit-learn/commit/61a3e001ba678cd07484b1491c48284ce4fb9260,,removed sample_mask parameter,Missing Why,,,,Summarize Code Object Change,,Object of change,
180607,https://github.com/jumpserver/jumpserver/commit/cf07a6ebb709860eb30ee388697069eed7a8f85b,,Fix judging request . user valid on UserToken API ( ),Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change,
183196,https://github.com/home-assistant/core/commit/f5f52010d137a2dc1fe0fe640cf0ae60c3bb5844,,Extract bloomsky binary_sensor,Missing Why,,,,Summarize Code Object Change,,Object of change,
188028,https://github.com/bitcoinbook/bitcoinbook/commit/4f95b138dd7337142de5e27c90a543d9fbbc2249,,Added appendix with selected BIPs . Converted from mediawiki using pandoc and edited manually,"Trivial
 Why",,Text file changes,,Summarize Code Object Change,,Object of change,
189759,https://github.com/sherlock-project/sherlock/commit/ad730054a15f23e458ee9198916aa30bc6111c74,,added KiwiFarms,Missing Why,,,,Summarize Code Object Change,,Object of change,
194449,https://github.com/pandas-dev/pandas/commit/6f25411a5f3614b8f16588f8ec7b5b76e307d762,,Fix PEP - 8 issues in reshaping . rst ( ),Describe Objective,,To fix defects,,,Summarize Code Object Change,,Object of change
196166,https://github.com/ipython/ipython/commit/ddfb54a7622ff863bfc8c0165d461b98c30f2ec9,,Add reminder comment for future removal,"Trivial
 Why",,Annotation changes,,Illustrate Function,,,
196646,https://github.com/pandas-dev/pandas/commit/25b5e297bd8e2bbe330301702c7be050a66f0e06,,DOC : tweak,,Trivial Why,,﻿Text file changes,,Trivial What,,
197007,https://github.com/matplotlib/matplotlib/commit/a5e4b576af81a51329175239342494d1fa1cf269,,Merge pull request from mdboom / mathtext_missing_symbols,"Trivial
 Why",,Version management,,Trivial What,,,
200540,https://github.com/ray-project/ray/commit/0dcfcfa2e912f135c7bbae577856364c5aa26afe,,fix compilation on macOS,Describe Objective,,To fix defects,,Illustrate Function,,,
201839,https://github.com/numpy/numpy/commit/07c0893279de1e0b59d3381de36b52efce0dd719,,Really fix linking with Fortran on AIX,Describe Objective,,To fix defects,,,Illustrate Function,,
201855,https://github.com/huggingface/transformers/commit/621e7a252904003b04357520fdccbf8fd8c1a4c8,,Merge pull request from stecklin / ner - fine - tuning,"Trivial
 Why",,Version management,,,Trivial What,,
202335,https://github.com/ansible/ansible/commit/7d2c71462d9ed7ed9b524b73c9c3868a1c0f1ed6,,gluster_volume : add ' volume ' alias to ' name ' param ( ),Missing Why,,,,Summarize Code Object Change,,Object of change,
205288,https://github.com/ipython/ipython/commit/a9a6bd0583412af6524383524775f80252af490c,,add unregister_target to CommManagers,Missing Why,,,,Summarize Code Object Change,,Object of change,
211517,https://github.com/sanic-org/sanic/commit/734730640aaae6b971f6d359b022767b0d075850,,added param package to relative imports,Missing Why,,,,Summarize Code Object Change,,Object of change,
219206,https://github.com/apache/superset/commit/ad2cc107883dc258e6c69a1ad64c4dac216cad01,,Fix unit tests for viz without json endpoint .,Describe Objective,,To fix defects,,Summarize Code Object Change,Illustrate Function,Object of change / Change list,
220522,https://github.com/ansible/ansible/commit/e9dd4717e57f77009a1608ac06258d9d4164fa32,,Update CHANGELOG . md ( ),"Trivial
 Why",,Text file changes,,Trivial What,,,
230284,https://github.com/explosion/spaCy/commit/e3be3d65b30392eabd9479ac7f6edafc2dd2e30e,,Version as v2 . 0 . 10 . dev0,"Trivial
 Why",,Version management,,Trivial What,,,
233405,https://github.com/home-assistant/core/commit/52926f19618ce8049bb184c30a839a5c04f479a1,,Move imports to top for canary ( ),,Trivial Why,,Code refactoring,,Summarize Code Object Change,,Object of change
233973,https://github.com/pandas-dev/pandas/commit/66415ec2a1b253cdad804d7de3455d154cdafec4,,"BUG : fix conflict between passed names , usecols , header options . note API breakage from < = 0 . 9 . 1 . close",Describe Objective,,To fix defects,,Illustrate Function,Summarize Code Object Change,,Object of change
234590,https://github.com/celery/celery/commit/abc2e4b938f1f1405ce2ce124937148d5aa1b9ef,,multi : Removed Py2 . 6 - ism,,Missing Why,,Missing Why,,Summarize Code Object Change,,Object of change
241522,https://github.com/home-assistant/core/commit/e0cea2d18d25ed6dda440a0c185af6aabf5c3ed3,,Make zone entries work without radius ( ),Imply Necessity,,Relation to an implemented feature,,Illustrate Function,,,
246541,https://github.com/tiangolo/fastapi/commit/7cea84b74ca3106a7f861b774e9d215e5228728f,,: bug : Fix FastAPI serialization of Pydantic ORM mode blocking the event loop ( ),Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change,
251148,https://github.com/luong-komorebi/Awesome-Linux-Software/commit/1ef9791d05258208b7dccd4aa672a99a785c93d9,,Add Freeablo to Games / Engine Re - creations,Missing Why,,,,Summarize Code Object Change,,Object of change,
255670,https://github.com/mitmproxy/mitmproxy/commit/a5412ab1366205cb1a2000993cb6b2c9dca28246,,allow server replay functionality to run on a different port,Illustrate Requirement,,Usage need,,Illustrate Function,,,
265970,https://github.com/scikit-learn/scikit-learn/commit/662cc647d93117d7a76b51fc5778147bc49cbf29,,FEA Add Rand Index and pair confusion matrix ( ),,Missing Why,,Missing Why,Summarize Code Object Change,,Object of change,
273589,https://github.com/locustio/locust/commit/82e8b66e94c51dbb70ee486b3c54f787eb09f5d2,,Added check_stopped function and made new stops specific to reason . Removed info argument from stop,Missing Why,,,,Summarize Code Object Change,,Object of change,
279072,https://github.com/matplotlib/matplotlib/commit/3031da056f6221275918ec2639a6a4c2b37ccbb7,,TST : add a test for tight_layout warning,"Trivial
 Why",,Test cases,,Summarize Code Object Change,,Object of change,
279353,https://github.com/cookiecutter/cookiecutter/commit/6ae1ca28a76bd1d557906a07e55353992edaa2f0,,Rename and add tests utils . chdir - > utils . work_in,"Trivial
 Why",,Code refactoring,,,Summarize Code Object Change,Change list,Object of change
285102,https://github.com/python-telegram-bot/python-telegram-bot/commit/4bbcd51ef529675ec8e5345366af07dd303339e9,,Fix serialization of reply_markups ( ),Describe Objective,,To fix defects,,Illustrate Function,,,
285624,https://github.com/celery/celery/commit/5357bcd119d18861e0cb5081f1b9bb811237cea3,,Fix unit test dependencies,,Illustrate Requirement,,"runtime or development
 environment change",Summarize Code Object Change,,Object of change,
288513,https://github.com/explosion/spaCy/commit/6c7301cc6d204f6f23e78e30eca987655242a1a8,,the parser now introduces sentence boundaries properly when predicting dependents with root labels,Imply Necessity,,Improvements and benefits,,Illustrate Function,,,
293557,https://github.com/binux/pyspider/commit/996407c9795986fd5365b1547c4224619f8789a5,,using run_in_thread for scheduler and fetcher dispatch again,Missing Why,,,,,Illustrate Function,,
295939,https://github.com/numpy/numpy/commit/d2d0dba130b9e4050cc3dac7aa07661d5ce5a033,,Merge pull request from ahaldane / fix_style_arg,"Trivial
 Why",,Version management,,Trivial What,,,
298189,https://github.com/getredash/redash/commit/b1bd8f1c259869c5cd7d106d50a83db2deb2f7a8,,friendlier entrypoint script,,Describe Objective,,To make improvements,,Summarize Code Object Change,,Characteristics of changes
298597,https://github.com/scikit-learn/scikit-learn/commit/3510a792632b9bb101f00a571e911232065bf8c7,,DOC Fix formating in docstrings _regression . py ( ),"Trivial
 Why",,,Code refactoring,,Summarize Code Object Change,,Object of change
299096,https://github.com/ansible/ansible/commit/778bffe35c38331b381dc8f289198a098106b273,,Add honeybadger_deployment module,Missing Why,,,,Summarize Code Object Change,,Object of change,
299408,https://github.com/matplotlib/matplotlib/commit/1d828a518d033757c37f803b8b166e80d9fe3dde,,Finished WebAgg JS objectification & generalisations .,Missing Why,,,,Summarize Code Object Change,,Object of change,
308900,https://github.com/scikit-learn/scikit-learn/commit/202e6ee8fb4a151d05cbb28161757093174cb387,,replaced kmeans_kwargs with some useful k - means parameters,Imply Necessity,,,"Relation to an implemented
 feature",Summarize Code Object Change,,Object of change,
312106,https://github.com/zulip/zulip/commit/560db2d48292cf208b03b3a7bff2bc198340399a,,send_password_reset_email . py : Migrate to send_mail from EmailMultiAlternatives .,"Trivial
 Why",,Code refactoring,,Summarize Code Object Change,,Contrast before and after,
321992,https://github.com/getredash/redash/commit/e314715335c9a33f1464e2ed5bee1ce899f30163,,"Refine implementation , fix ' shouldShow ' condition , fix eslint warnings",,Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change
323547,https://github.com/matplotlib/matplotlib/commit/90e1f59d34d64270edd94d504580413ef5e2baf4,,added documentation for usetex,"Trivial
 Why",,Text file changes,,,Summarize Code Object Change,,Object of change
323873,https://github.com/ipython/ipython/commit/af40089bfa6a3c4b9363af4f03571f7bd98cb8d1,,fix typos in comments,"Trivial
 Why",,Typographic fixes,,Trivial What,,,
328390,https://github.com/ansible/ansible/commit/e0ea3decae4b713c99740783dd9b8bff6668ab67,,The patterns document is now it ' s own chapter since it applies to playbooks and / usr / bin / ansible alike .,,Trivial Why,,Text file changes,Summarize Code Object Change,,Object of change,
329421,https://github.com/pandas-dev/pandas/commit/8119991041de50ff3bc6570d94e1fe6e28921ebe,,Merge pull request from KTAtkinson / issue_6175,"Trivial
 Why",,Version management,,,Trivial What,,
332843,https://github.com/tqdm/tqdm/commit/5f3519b11bbf1f2002a198c9f4ca88ecb894cb90,,code tidy,"Trivial
 Why",Trivial Why,Code refactoring,﻿Code refactoring,Trivial What,,,
335630,https://github.com/ytdl-org/youtube-dl/commit/c8b8fb0a990421d6e9724fd3ba0060b357fcea8e,,"[sixplay] improve extraction
- skip drm protected formats
- extract more and better formats
- skip duplicate asset urls",,Describe Objective; Trivial Why,,To make improvements,,summarize Code Object Change,,Change list
342805,https://github.com/matplotlib/matplotlib/commit/1aec54b16e02427ea60e2ba3dd450d967bb7e418,,MNT : do not re - trigger draws during draw,Desribe Issue,,Describe Shortcomings,,Illustrate Function,,,
342974,https://github.com/ansible/ansible/commit/fe908668190b017c2959e4d9a471c9b889c137c5,,Fix rst syntax issue in docs .,,Trivial Why,,Text file changes,Trivial What,,,
343167,https://github.com/spotify/luigi/commit/7c5fb0afeb8c4a51f74d96061a926bc88eb90eef,,Adds a test that task load failures trackbacks are sent to the scheduler,"Trivial
 Why",,Test cases,,Illustrate Function,,,
343869,https://github.com/deepfakes/faceswap/commit/cbba53ea67cb48d8886041ae594ca2dfda48a4c8,,"Core Updates (#1015)
- Remove lib.utils.keras_backend_quiet and replace with get_backend() where relevant
- Document lib.gpu_stats and lib.sys_info
- Remove call to GPUStats.is_plaidml from convert and replace with get_backend()
- lib.gui.menu - typofix",Missing Why,,,,,Summarize Code Object Change,,Change list
350199,https://github.com/matplotlib/matplotlib/commit/4e302b737932ea626c3fab98cdb08b8f6ee95a6d,,Deprecate GDK and GTK backends,Illustrate Requirement,,Out of date,,Summarize Code Object Change,,Object of change,
359234,https://github.com/nginx-proxy/nginx-proxy/commit/e1c685b679ad29c7617972adb3329348ec0881a4,,Update boot2docker instructions,"Trivial
 Why",,Text file changes,,,Trivial What,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,`,,,,,,
