ID,link,repo,message,why_category1,why_category2,why_subcategory1,why_subcategory2,what_category1,what_category2,what_subcategory1,what_subcategory2
138375,https://github.com/microsoft/CNTK/commit/17377d845df3a955239f0b857693d91fdbdaf9fd,microsoft/CNTK, .gitignore: add Tests/UnitTests/NetworkTests/Output/ ,Trivial Why,,Annotation changes,,Summarize Code Object Change,,Object of change,
142437,https://github.com/facebook/hhvm/commit/add89e477f1f20d77f4511e089a359f646904fe4,facebook/hhvm," Add detection of jemalloc in cmake

This adds detection of jemalloc in cmake. It can be enabled with an
option, which is left to OFF by default for now.",Imply Necessity,,Relation to an implemented feature,,,Summarize Code Object Change,,Object of change
143101,https://github.com/tensorflow/tensorflow/commit/44985cbb76ad543282a19ffcf1d764e54e792ed9,tensorflow/tensorflow," Internal change.

PiperOrigin-RevId: 234153216",,Missing Why,,,,Missing What,,
148141,https://github.com/v8/v8/commit/140ebd974e56bbd4518c2e250381024e0fa52d9c,v8/v8," Fix crashes of some CPU profiler tests on Windows after r16284

All the tests that started crashing create ProfilerEventsProcessor on the stack. After r16284 SamplingCircularQueue buffer is allocated as a field of the queue instead of separate heap object. This increased self size of ProfilerEventsProcessor by about 1Mb. Windows malloc fails to allocate such an object on the stack and crashes.

BUG=
R=jkummerow@chromium.org

Review URL: https://codereview.chromium.org/23093022

git-svn-id: http://v8.googlecode.com/svn/branches/bleeding_edge@16287 ce2b1a6d-e550-0410-aec6-3dcde31c8c00",Describe Issue,,Describe error scenario,,,Summarize Code Object Change,,Characteristics of changes
152407,https://github.com/apple/swift/commit/97611a886447cded64324842cb3600b058f6c1cc,apple/swift, Sema: Fix closureEffects() to pass the right DeclContext for the lookup ,,Describe Objective,,To fix defects,Illustrate Function,,,
152927,https://github.com/apple/swift/commit/a704fdb9366043637572e86f468ec25521992433,apple/swift,viewcfg: use the 'helvetica' font ,,Missing Why,,,,Summarize Code Object Change,,Object of change
156379,https://github.com/swoole/swoole-src/commit/4c69517a25b0dd97adaa144b0bbd74371a6690b8,swoole/swoole-src, fix double free. ,Describe Objective,,To fix defects,,,Summarize Code Object Change,,Object of change
156718,https://github.com/EOSIO/eos/commit/4ad0316b60b2a8a031dc5078fe6be682d6c34a2f,EOSIO/eos,Applied changes from GH #1730 for get_next_sender_id. GH #1022 ,,Describe Issue,,Introduce issue/PR reference,,Summarize Code Object Change,,Object of change
157600,https://github.com/pytorch/pytorch/commit/7af9d77290ea2537e1f9baf36a5f211ba754c636,pytorch/pytorch," Update persons_of_interest.rst

Updating to add POI for mobile, quantization and an addition to optimizers.",,Trivial Why,,Text file changes,Summarize Code Object Change,,Object of change,
157642,https://github.com/ApolloAuto/apollo/commit/9b8353dc66cba28f8768e17bc7301d3f70923588,ApolloAuto/apollo,rosbag_to_record: fix header files included ,Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change,
160855,https://github.com/google/flatbuffers/commit/77f966f89fcf76fa67485adf941ac6e90d28029c,google/flatbuffers, [Lobster] optional scalars support ,Imply Necessity,,Relation to an implemented feature,,,Missing What,,
162295,https://github.com/electron/electron/commit/e183bab6c5d4b3d12648111da2624f46926bfb28,electron/electron,Pass along verbose mode,Describe Objective,,To make improvements,,,Summarize Code Object Change,,Object of change
165902,https://github.com/arangodb/arangodb/commit/c9c6f14687e0c42f915af4283efcd707330d94e0,arangodb/arangodb,Add rr support to testing.js. ,,Imply Necessity,,Relation to an implemented feature,,Summarize Code Object Change,,Object of change
167644,https://github.com/arangodb/arangodb/commit/17ea3f422d4e4c983a652aac87e1f0a96e83f480,arangodb/arangodb,dont use dynamic memory for condition variable initialization ,Imply Necessity,,Conventions and standards,,,Describe Implementation Principle,,
167992,https://github.com/v8/v8/commit/c7ce87f8650e351cf3de65d0b8bdcc0d2202a161,v8/v8," Add sanity test for CPU profiler

The new test checks full CPU profiling cycle: using public V8 API it starts profiling, executes a script, stops profiling and analyzes collected profile to check that its top-down tree has expected strutcture. The script that is being profiled is guaranteed to run > 200ms to make sure enough samples are collected.

To avoid possible flakiness due to non-deterministic time required to start new thread on varios OSs when Sampler and ProfilerEventsProcessor threads are being started the main thread is blocked until the threads are running.

Also I removed the heuristic in profile-generator.cc where we try to figure out if the value on top of the sampled stack is return address of some frameless stub invocation. The code periodically gives false positive with the new test ending up in an extra node in the collected cpu profile. After discussion with jkummerow@ we concluded that the logic is too fragile and that we can address frameless stub invocations in a more reliable way later should they have a noticeable effect on cpu profiling.

BUG=None

Review URL: https://codereview.chromium.org/13627002

git-svn-id: http://v8.googlecode.com/svn/branches/bleeding_edge@14205 ce2b1a6d-e550-0410-aec6-3dcde31c8c00",,Describe Objective; Describe Issue,,To make improvements; Describe shortcoming,,Summarize Code Object Change,,Characteristics of changes
172987,https://github.com/MarlinFirmware/Marlin/commit/70abca195abfbb1a8ecf7eba8e27f61ba7eee759,MarlinFirmware/Marlin,overworked cardreader for folder support; not finished yet. ,,Describe Issue,,Describe error scenairo,,Illustrate Function,,
174081,https://github.com/emscripten-core/emscripten/commit/a8b0615494eb280d25f410596eb3a1f817ed0e0e,emscripten-core/emscripten,remove extra errors in loadDynamicLibrary; they just confuse ,Describe Issue,,Describe shortcoming,,Summarize Code Object Change,,Object of change,
174543,https://github.com/EOSIO/eos/commit/501db6cc126c0b3d9bf9ccb1e6108e7cc66c56b3,EOSIO/eos,Changed to one line in main build script ,,Missing Why,,,,Missing What,,
175246,https://github.com/nlohmann/json/commit/f78d456075325f5f65b9a57b4e7ec329b6c62d86,nlohmann/json,Merge pull request #2540 from karzhenkov/disrupt-cxx17-tests. Travis doesn't run any tests in C++17 mode,,Trivial Why,Describe shortcoming,,Trivial What,,,
179806,https://github.com/opencv/opencv/commit/5f6ce6f4b0a6caeefab715dca164f47e20d14d33,opencv/opencv, Merge pull request #9762 from dkurt:fix_tensorflow_split_layer ,Trivial Why,,Version management,,Trivial What,,,
194844,https://github.com/ClickHouse/ClickHouse/commit/9891c5379f6ff85393b5464a5cef491dc7eda6b3,ClickHouse/ClickHouse," Merge pull request #1919 from BayoNet/master

Redirects and single_page -> single.",Trivial Why,,Version management,,Summarize Code Object Change,Trivial What,Object of change,
195153,https://github.com/cocos2d/cocos2d-x/commit/55362547fac28eaddc89df7e93b8da0c47a963e9,cocos2d/cocos2d-x," Fix bug with unresolved symbols in Android Studio 2.3 (#17586)

* Fix bug with unresolved symbols in Android Studio 2.3

* Fix bug with unresolved symbols in Android Studio 2.3",Describe Objective,,To fix defects,,,Summarize Code Object Change,,Object of change
202164,https://github.com/v8/v8/commit/0ffe4fc390ac1848e80f6ae4e90abe29cd416bab,v8/v8," Add icu libraries to fuzzer dependencies

In component build, fuzzer did not link with icu libraries, causing
errors. By adding icu libraries to dependencies fuzzer links correctly.

BUG=
TEST=fuzzer/*

Review-Url: https://codereview.chromium.org/2510063002
Cr-Commit-Position: refs/heads/master@{#41098}",,Describe Issue / Describe Objective,,Describe error scenario / To fix defects,,Summarize Code Object Change,,Contrast before and after
208001,https://github.com/tensorflow/tensorflow/commit/305a6e725171d3fcc3c1b8e4e8a446bf7f013166,tensorflow/tensorflow,"Move TF function test that is keras related to integration test.

PiperOrigin-RevId: 304803957
Change-Id: Ia190726a64701dca4d8dfe9aabb5f7f80faf78e6",Trivial Why,,Code refactoring,,Summarize Code Object Change,,Object of change,
214667,https://github.com/davisking/dlib/commit/d1cf19fc8d79ce694049e823c630736f6db831cd,davisking/dlib, Added an option to learn just non-negative weights. ,Imply Necessity,,Relation to an implemented feature,,Illustrate Function,,,
215486,https://github.com/mongodb/mongo/commit/250d6747c3d58b57bb17294b2f7054e18a612496,mongodb/mongo, Change WiredTigerRecordStore::Truncate to call wiredTigers truncate ,,Missing Why,,,Summarize Code Object Change,,Object of change,
216960,https://github.com/google/googletest/commit/bcb12fa0f651f7de3a10f4535ed856e52b1c3f62,google/googletest,Fixes the definition of GTEST_ATTRIBUTE_UNUSED and make the tests pass in opt mode.,,Describe Objective,,To fix defects,Summarize Code Object Change,,Object of change,
226843,https://github.com/xbmc/xbmc/commit/f0fcad3aaacf6ce263f747199253db5945ace3a1,xbmc/xbmc, [videodb] don't set the playcount to previously matched episode/season when adding new episodes if the new episode doesn't have a defined episode and season number. fixes,Describe Issue,,Describe error scenario,,,Illustrate Function,,
227982,https://github.com/apple/swift/commit/e8abf54a9a08635af8e4b46096b20eebd277503c,apple/swift," Sema: Fixes for protocol typealiases
This is a big refactoring of resolveTypeInContext() which makes the function clearer to understand by merging various special cases and generalizing the logic for walking parent and superclass contexts to cover more cases.
This improves typealiases in protocols a bit:
1) Previously a typealias in a protocol either had to be concrete, or consist of a single path of member types from Self, eg Self.A.B. Lift this restriction, so we can now write things like
protocol Fireworks {
  associatedtype Exploding
  typealias Exploder = Exploding -> [Exploding]
}
2) Protocol typealiases can now be accessed via qualified lookup on concrete types. Getting this working for unqualified lookup requires further refactorings which will be in a subsequent patch.",Describe Objective,,To make improvements,,Summarize Code Object Change,,Characteristics of changes; Object of change,
228001,https://github.com/apple/foundationdb/commit/7efabb46fa9bc25a22ea2e8aa989beefae101186,apple/foundationdb,Merge pull request #3812 from etschannen/release-6.3 ,Trivial Why,,Version Management,,Trivial What,,,
233377,https://github.com/electron/electron/commit/bce8a3f83597739fa959beec0238e13f5d0c0673,electron/electron, Fix cpplint warning ,Trivial Why,,,,Summarize Code Object Change,,Object of change,
233878,https://github.com/facebook/hhvm/commit/f346b6aacaa9646176a9e78883676d902d59af35,facebook/hhvm," [Fix] Inlining wasnt setting scope correctly on the inlined body

Summary: The ast now has to keep track of its context. Inlining wasnt doing that.

Task ID: #

Blame Rev:

Reviewers: qixin, hzhao

CC:

Test Plan: slow_tests, build www-dev with inlining, flib/unit tests.

Revert Plan:

Tags:

- begin *PUBLIC* platform impact section -
Bugzilla: #
- end platform impact -

DiffCamp Revision: 177194",,Describe Issue / Describe Objective,,To fix defects,,Summarize Code Object Change,,Contrast before and after
235003,https://github.com/ClickHouse/ClickHouse/commit/4e8ab12816b0f790edaebf885904412f88b17512,ClickHouse/ClickHouse,refactoring,Trivial Why,,Code refactoring,,Missing What,,,
235284,https://github.com/ClickHouse/ClickHouse/commit/ba5cb121aef8d942a426ba06ad689eba28dd784b,ClickHouse/ClickHouse, Temporary revert site about new package name (clickhouse-server vs clickhouse-server-common),,Missing Why,,,,Summarize Code Object Change,,Contrast before and after
235449,https://github.com/davisking/dlib/commit/d63c46828822629e6ae744bbf2204d18fb6e47dc,davisking/dlib, Added some of the cuDNN conv calls. ,,Missing Why,,,Summarize Code Object Change,,Object of change,
235990,https://github.com/cocos2d/cocos2d-x/commit/9b5b87b505916ae04c3133304271a3b1aec26766,cocos2d/cocos2d-x,reprepare assets on rebuild ,Imply Necessity,,Relation to an implemented feature,,,Illustrate Function,,
236879,https://github.com/apple/swift/commit/0f00ea175be1263324092107ca6692e06da988b6,apple/swift, Merge pull request #34574 from apple/revert-34545-FixPlaceholderOverlayDeps,,Trivial Why,,,Trivial What,,,
238764,https://github.com/tensorflow/tensorflow/commit/e2a4c8124766cba51ee938487e7f18466511ac26,tensorflow/tensorflow,Automated g4 rollback of changelist 166204326 PiperOrigin-RevId: 166234847,,Missing Why,,,Summarize Code Object Change,,Characteristics of changes,
242433,https://github.com/tensorflow/tensorflow/commit/8d5a36ef0f7e65a84d64c800ca5527a3cc6ff2f0,tensorflow/tensorflow,Fix trt allocator and tensor name issues in convert_nodes.cc. ,Describe Objective,,To fix defects,,,Summarize Code Object Change,,Object of change
243454,https://github.com/BVLC/caffe/commit/3686f872f26e92e5c48e04e24bb89029b225984e,BVLC/caffe, Set device_id at the begining of Solver.Init() to avoid using memory in the default GPU,Describe Objective,,To make improvements,,,Illustrate Function,,
251319,https://github.com/facebook/folly/commit/b3cd8a1b13768b387e9e933333788526e548a6ea,facebook/folly," Issue with find and npos

Summary:
I dont know whats the expected behavior but for std::string it seems
to work.

@override-unit-failures

Test Plan:
unit-tests

[ RUN      ] FBString.findWithNpos
folly/test/FBStringTest.cpp:1147: Failure
Value of: fbstr.find("":"", fbstring::npos)
Actual: 9
Expected: fbstring::npos
Which is: 18446744073709551615

Reviewed By: andrei.alexandrescu@fb.com

FB internal diff: D1012870",Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change,
255077,https://github.com/apple/swift/commit/f6c62be12fde8270cf9a1701adc38ebda00fe123,apple/swift,"Merge pull request #31933 from rintaro/ide-completion-rdar58886969

[CodeCompletion] Stop suggesting static member on a protoco meta type",Imply Necessity,,Relation to an implemented feature,,Trivial What,,,
255106,https://github.com/EOSIO/eos/commit/1b258d133f2acf1f3959d58f404683dfced19f8b,EOSIO/eos," add test case for eosio_assert_code #2561

Also added support in `abi_serializer` for getting the error message
corresponding to an error code.",,Trivial Why / Imply Necessity,,Test cases / Relation to an implemented feature,Summarize Code Object Change,,Change list,
261624,https://github.com/EOSIO/eos/commit/122957467ea21eb3918798cd409cc869ea592884,EOSIO/eos,fix typo,Trivial Why,,Typographic fixes,,Trivial What,,,
265040,https://github.com/xbmc/xbmc/commit/193a094743dfbdfa3007aaeafb1ecd81b1ec508a,xbmc/xbmc," Merge pull request #16585 from peak3d/eglfix

[EGL Render] Fix accidentially changed egl config",Dercribe Objective,,To fix defects,,,Trivial What,,
266173,https://github.com/tensorflow/tensorflow/commit/b70b3e7032cfbbd6d237dc01cdbd1399378b8351,tensorflow/tensorflow,Fixes #34194 - tf.size() documentation,,Describe Issue,,Introduce issue/PR reference,Summarize Code Object Change,,Object of change,
268249,https://github.com/ClickHouse/ClickHouse/commit/d3b10c91f05cc20db0b6c4ba2af0a7b9486881f7,ClickHouse/ClickHouse,Update wide_integer_impl.h,,Missing Why,,,,Summarize Code Object Change,,Object of change
270309,https://github.com/protocolbuffers/protobuf/commit/297449aaf4b3fabb29a75ba3912af12e27fdefd9,protocolbuffers/protobuf," Update the ObjC projects for Xcode 8

- Let Xcode 8 update settings on the projects/schemes.
- Migrate Swift tests to Swift 3 syntax.
- Update the build/test script:
  - Require Xcode 8 (because of the Swift 3 requirement for tests)
  - Update the devices to what Xcode 8 has (8.x simulator seem to fail even
    though they can be downloaded in Xcode 8)
- Update the travis images to ones with Xcode 8.",,Illustrate Requirement,,Runtime or development environment change,Summarize Code Object Change,,Change list,
272923,https://github.com/opencv/opencv/commit/78c924baad21c7cc4f6b05478b66547312fa2ac7,opencv/opencv, removed obsolete CARMA toolchain and CMake variable ,,Illustrate Requirement,,Out of date,,Summarize Code Object Change,,Object of change
273031,https://github.com/godotengine/godot/commit/e16e5012ca39d792857e92fd4e64c5e00a5f8620,godotengine/godot,"Revert ""Fix AnimationPlayer editor length and step synchronization""
This reverts commit ca80ebe.",Trivial Why,,Version Management,,Trivial What,,,
275210,https://github.com/MarlinFirmware/Marlin/commit/09587f7c0d8ba7d8afa9a15e72e0d21600c7a1c5,MarlinFirmware/Marlin, Fix rows error in DOGM ,Describe Objective,,To fix defects,,,Summarize Code Object Change,,Object of change
280546,https://github.com/xbmc/xbmc/commit/ee77d6bb78901bdf1053ab76e424768d4bc7d8a4,xbmc/xbmc, Cosmetic: unify capitalizations ,,Trivial Why,,Code refactoring,Trivial What,,,
280778,https://github.com/godotengine/godot/commit/cd1e14b1da0578aef1566e48b092a84b846372a6,godotengine/godot,Use inline code for isinf as a workaround for libstdc++ versions from gcc 5.x era.,,Illustrate Requirement,,Runtime or development environment change,Summarize Code Object Change,,Object of change,
282981,https://github.com/mongodb/mongo/commit/eeccd88d262c45392ec9a642f57415cba36463e2,mongodb/mongo, SERVER-39809 Remove the prepare root field of oplog entry ,,Missing Why,,,Summarize Code Object Change,,Object of change,
285642,https://github.com/apple/swift/commit/1f8e12f67edc7da273cd39d2c4af388c461edcfc,apple/swift, Merge remote-tracking branch 'origin/master' into master-next ,,Trivial Why,,,Trivial What,,,
289447,https://github.com/EOSIO/eos/commit/801c0b195e5005fa215f0f2e8f6e890675b21131,EOSIO/eos,cleos --print-request fixes after review #3849 ,,Describe Issue / Describe Objective,,Introduce issue/PR reference; To fix defects,,Summarize Code Object Change,,Object of change
291878,https://github.com/tensorflow/tensorflow/commit/2e89ec920f7f15a4445ffafb9c9f7130c8ad7258,tensorflow/tensorflow,"Merge pull request #34412 from dfki-mako:extended_hlo_legalization

PiperOrigin-RevId: 281466741
Change-Id: Ib7606b4644f6db1e2085e5b642b657a10fc4b0a8",Trivial Why,,,,,Trivial What,,
295991,https://github.com/arangodb/arangodb/commit/a6303223d6d612244a3183df68b136944f996f8f,arangodb/arangodb,fixes for Ahuacatl,,Describe Objective,,To fix defects,Missing What,,,
305904,https://github.com/opencv/opencv/commit/b58b2c5ae8b857e4e897a4a8d9265993202ecebc,opencv/opencv,Merge pull request #14878 from JoeHowse:4.1.0-patches ,Trivial Why,,Version Management,,Trivial What,,,
308549,https://github.com/grpc/grpc/commit/c831a28dbd694f929fbbc0a4ac88fc4656d0caf3,grpc/grpc,Organize test cases for xds test ,,Trivial Why,,Code refactoring,,Summarize Code Object Change,,Object of change
319245,https://github.com/ClickHouse/ClickHouse/commit/3c523cbfd30e1c2546713f4420bea71154ee675e,ClickHouse/ClickHouse,client: updates on parsing options from command line [METR-10071] ,Imply Necessity,,Relation to an implemented feature,,,Summarize Code Object Change,,Object of change
330955,https://github.com/swoole/swoole-src/commit/17e9aa76cb7f895466fa04962310f05bf9e1978e,swoole/swoole-src, table column size.,,Missing Why,,,,Summarize Code Object Change,,Object of change
331659,https://github.com/microsoft/react-native-windows/commit/a17547e90fb6ff80e7635970cb4eb0aea053042c,microsoft/react-native-windows," feat(WebSocketModule): Add cross reference to issue for TODO

TODOs should be cross-referenced to open issues for better tracking.
Adds cross-reference for options support in WebSocketModule.",,Imply Necessity,,Conventions and standards; Improvements and benefits,,Describe Implementation Principle,,
342185,https://github.com/apple/swift/commit/e69d096831b8ab628e3cc8b1d68296002f3be03c,apple/swift, Merge remote-tracking branch 'origin/master' into master-next ,Trivial Why,,Version Management,,Trivial What,,,
346785,https://github.com/ClickHouse/ClickHouse/commit/6851a7754a479d4abafec38c1723812ab757100c,ClickHouse/ClickHouse,Fixed linkage [ # CLICKHOUSE - 2 ] . ,,Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change
349510,https://github.com/cocos2d/cocos2d-x/commit/1e39b59c8d1208627d71665b959aa4a0174b621a,cocos2d/cocos2d-x,Update CHANGELOG [ci skip] ,Trivial Why,,Text file changes,,Trivial What,,,
349535,https://github.com/aseprite/aseprite/commit/3c4bbbe30c7468f442bab69039e8c0ed84e92120,aseprite/aseprite, Replace jwidget_set_min/max_size() with Width::setMin/MaxSize() ,,Missing Why,,,,Summarize Code Object Change,,Contrast before and after
356046,https://github.com/arangodb/arangodb/commit/01a407705831c71a992533e0f9b6ac93f213d091,arangodb/arangodb,Fix links in docs ,Trivial Why,,Text file changes,,,Summarize Code Object Change,,Object of change
