id,message,why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2,,,,,,,,,,,
42078,"indexes are zero based and the "" size "" is 1 - based , need to subtract 1",Imply Necessity,Describe Issue,Conventions and standards,Describe error scenario,Describe Implementation Principle,Summarize Code Object Change,Describe Implementation Principle,Contrast before and after,,,,,,,,,,,
357299,Update vendor / qunit - clib to avoid ` logInline ` when running on Windows .,Imply Necessity,Describe Objective,Improvements and benefits,To fix defects,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
114936,[ sql mode ] Tokenize unclosed backtick - escapes more intelligently,Imply Necessity,Describe Objective,Improvements and benefits,To make improvements,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
131807,Use dependencies instead of bundle ids for markers and have packagers do replacement,Imply Necessity,Missing Why,Improvements and benefits,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Characteristics of changes,Object of change,,,,,,,,,,,
202445,fix ( mock . $ log ) : keep in sync with $ log,Missing Why,describe Objective,Missing Why,To fix defects,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
289281,fix observable disposable,Missing Why,Describe Objective,Missing Why,To fix defects,Missing What,Trivial What,Missing What,,,,,,,,,,,,
81753,fix ( s3 ) : Content - Disposition = > ContentDisposition,Missing Why,Describe Objective,Missing Why,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Contrast before and after,Object of change,,,,,,,,,,,
82082,fix ( snooze - button ) : Change div to button,Missing Why,describe Objective,Missing Why,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Contrast before and after,Object of change,,,,,,,,,,,
226171,fix ( reporter ) : TypeScript definitions for Reporter ( ),Missing Why,Describe Objective,Missing Why,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
298182,preserve highlighting when editing a line,Missing Why,Describe Objective,Missing Why,To make improvements,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
133402,Added feature detect for four background - position values,Missing Why,describe Objective,Missing Why,To make improvements,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
169087,Correctly assign gutter container vnode,Missing Why,Describe Objective,Missing Why,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes,,,,,,,,,,,
175469,Place Kakapo in the correct alphabetical order,Missing Why,Describe Objective,Missing Why,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
239904,Update Grunt dependencies,Missing Why,Illustrate Requirement,Missing Why,Out of date,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
270505,updating mongo,Missing Why,Illustrate Requirement,Missing Why,"Runtime or development
 environment change",Missing What,Trivial What,Missing What,Trivial What,,,,,,,,,,,
25359,[ client - sync ] Enable logging in prod builds,Missing Why,Illustrate Requirement,Missing Why,Usage need,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
254159,feat ( git - utils ) : Devolve getShortSHA ( ) to consumers,Missing Why,Imply Necessity,Missing Why,Conventions and standards,Summarize Code Object Change,Describe Implementation Principle,Object of change,Describe Implementation Principle,,,,,,,,,,,
125131,revert dashboard : file - removed - ui,Missing Why,Imply Necessity,Missing Why,Relation to prior commits,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
25452,this fixes,Missing Why,Missing Why,Missing Why,Missing Why,Missing What,Missing What,Missing What,Missing What,,,,,,,,,,,
86420,no message,Missing Why,Missing Why,Missing Why,Missing Why,Missing What,Missing What,Missing What,Missing What,,,,,,,,,,,
298145,Log it all,Missing Why,Missing Why,Missing Why,Missing Why,Missing What,Missing What,Missing What,Missing What,,,,,,,,,,,
143032,permit any whole number for tabLength,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
230595,adding timeout to directory reading,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
296385,Make the TextEditor setters call update ( ),Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
95949,Move catalog refresh off of catalog . complete,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
134348,Move of drawLoop to svgDraw,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
241211,Passed appInfo to members - api stripe instance,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
283519,added KeyEvent util to KeyBindingManager . js and CodeHintManager . js,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
139142,Added cameraZ parameter,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
129864,feat ( www ) : Add source links to API docs ( ),Missing Why,Missing Why,Missing Why,Missing Why,Trivial What,Illustrate Function,Trivial What,Illustrate Function,,,,,,,,,,,
287384,chore : next - > dev,Missing Why,Trivial Why,Missing Why,Code refactoring,Missing What,Summarize Code Object Change,Missing What,Object of change,,,,,,,,,,,
75389,Run jsdoc script,Missing Why,Trivial Why,Missing Why,Code refactoring,Missing What,Trivial What,Missing What,Trivial What,,,,,,,,,,,
264676,feat : table styles ( ),Missing Why,Trivial Why,Missing Why,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Change list,,,,,,,,,,,
42753,Make ` shouldInvoke ` explicitly return ` true ` if it ' s the first call .,Missing Why,Trivial Why,Missing Why,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
236527,Update PIXI . d . ts generateTexture,Missing Why,Trivial Why,Missing Why,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
61853,Documentation + fix module init,Missing Why,Trivial Why,Missing Why,Code refactoring,Summarize Code Object Change,Trivial What,Change list,Trivial What,,,,,,,,,,,
83985,Mock npm install in tests,Missing Why,Trivial Why,Missing Why,Test cases,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
124360,=+ Stock Photos Tools,Missing Why,Trivial Why,Missing Why,Text file changes,Missing What,Summarize Code Object Change,Missing What,Object of change,,,,,,,,,,,
168309,Update ref - 01 - top - level - api . md,Missing Why,Trivial Why,Missing Why,Text file changes,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
56863,add plug for tsdx,Missing Why,Trivial Why,Missing Why,Text file changes,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
277909,Added Design Hunt,Missing Why,Trivial Why,Missing Why,Text file changes,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
23763,Update repo structure .,Trivial Why,describe Objective,Code refactoring,To make improvements,Missing What,Trivial What,Missing What,Trivial What,,,,,,,,,,,
138253,Increase code coverage when testing AMD modules .,Trivial Why,Describe Objective,Test cases,To make improvements,Illustrate Function,Trivial What,Illustrate Function,Trivial What,,,,,,,,,,,
116277,: arrow_up : markdown - preview @ 0 . 131 . 0,Trivial Why,Illustrate Requirement,Version management,"Runtime or development
 environment change",Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
5250,bump ( version ) : 0 . 4 . 52 and add Changelog,Trivial Why,Illustrate Requirement,Version management,"Runtime or development
 environment change",Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
270303,Rename to deploymentBucket as recommended by @ flomotlik,Trivial Why,Imply Necessity,Code refactoring,Conventions and standards,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
298906,more refactoring of content script : better modularization of various components,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Describe Implementation Principle,Summarize Code Object Change,Describe Implementation Principle,Characteristics of changes,,,,,,,,,,,
348383,Code cleanup .,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Illustrate Function,Missing What,Illustrate Function,Missing What,,,,,,,,,,,
71701,Remove code duplication in view helper,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
108523,remove unused babel plugins,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
142930,added some white - spaces and line - breaks,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
330388,refactored project . added specs,Trivial Why,Trivial Why,Code refactoring + Annotation changes,Code refactoring,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
135449,test mutations to change event handlers during a change event,Trivial Why,Trivial Why,Test cases,Test cases,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
255848,[ test ] add case for : crash on start with improper child_process spawn path,Trivial Why,Trivial Why,Test cases,Test cases,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
315064,Update CHANGELOG for 2 . 16 . 0 - beta . 2 .,Trivial Why,Trivial Why,Text file changes,Text file changes,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
168049,Add README for google analytics plugin,Trivial Why,Trivial Why,Text file changes,Text file changes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
332222,v0 . 13 . 3 release,Trivial Why,Trivial Why,Version management,Version management,Illustrate Function,Trivial What,Illustrate Function,Trivial What,,,,,,,,,,,
40162,Merge pull request from bekzod / fix - condition,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
49377,Merge pull request from pramodhkp / saverestore,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
59870,Merge pull request from petetnt / patch - 1,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
74043,Merge pull request from RocketChat / fix - test - without - oplog,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
89399,Merge pull request from RocketChat / popover - on - safari - ios,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
138642,Merge pull request from sbarman / streamrewrite2,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
145047,Merge pull request from suryasingh / master,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
280131,Merge pull request from prigara / master,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
288935,Merge pull request from dante2008 / contri - doc - typo,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
297765,Merge pull request from cobbspur / bugfixes,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
311022,Merge pull request from emberjs / bugfix / upgrade - glimmer - vm - 0 . 47 . 9,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
316680,Merge pull request from RocketChat / develop - sync,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
333148,Merge pull request from makinde / lean_default_getter,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
334310,Merge pull request from aldhsu / patch - 1,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
