id,message,why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2,,,,,,,,,,,
285102,Fix serialization of reply_markups ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes,,,,,,,,,,,
54117,Issue : Fix _Pickle_FastCall ( ) usage in do_append ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
180607,Fix judging request . user valid on UserToken API ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
246541,: bug : Fix FastAPI serialization of Pydantic ORM mode blocking the event loop ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
79441,fix a couple problems with the last patch picked up by Michael Hudson,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Trivial What,Change list,Trivial What,,,,,,,,,,,
99511,fix flake8 errors,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
285624,Fix unit test dependencies,Describe Objective,Illustrate Requirement,To fix defects,"runtime or development
 environment change",Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
342805,MNT : do not re - trigger draws during draw,Describe Objective,Missing Why,To fix defects,Missing Why,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
342974,Fix rst syntax issue in docs .,Describe Objective,Trivial Why,To fix defects,Text file changes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
273589,Added check_stopped function and made new stops specific to reason . Removed info argument from stop,Illustrate Requirement,Describe Issue,Usage need,To make improvements,Summarize Code Object Change,Illustrate Function,Change list,Illustrate Function,,,,,,,,,,,
67581,"Use casting trait for session number in history , so IPython will start on PyPy .",Illustrate Requirement,Describe Objective,Usage need,To make improvements,Illustrate Function,Describe Implementation Principle,Illustrate Function,Describe Implementation Principle,,,,,,,,,,,
65336,threading . Thread objects will now print a traceback for an exception raised,Illustrate Requirement,Describe Objective,Usage need,To make improvements,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
126841,"Allow longer strings ( up to 80 chars each ) for version , build ,",Illustrate Requirement,Describe Objective,Usage need,To make improvements,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
159341,Add method to convert Animation to HTML5 video .,Illustrate Requirement,Describe Objective,Usage need,To make improvements,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
350199,Deprecate GDK and GTK backends,Illustrate Requirement,Illustrate Requirement,Out of date,Out of date,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
15221,Issue : Deprecate ssl - related arguments in favor of SSLContext .,Illustrate Requirement,Illustrate Requirement,"Runtime or development
 environment change",Out of date,Describe Implementation Principle,Describe Implementation Principle,Describe Implementation Principle,Describe Implementation Principle,,,,,,,,,,,
255670,allow server replay functionality to run on a different port,Illustrate Requirement,Illustrate Requirement,Usage need,Usage need,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
234590,multi : Removed Py2 . 6 - ism,Illustrate Requirement,Missing Why,"Runtime or development
 environment change",Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
265970,FEA Add Rand Index and pair confusion matrix ( ),Illustrate Requirement,Missing Why,Usage need,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
156183,minor : reduce log verbosity for chunk - based file downloads,Imply Necessity,Describe Objective,Improvements and benefits,Describe shortcoming,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
298189,friendlier entrypoint script,Imply Necessity,Describe Objective,Improvements and benefits,To make improvements,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
335630,[ sixplay ] improve extraction,Imply Necessity,Describe Objective,Improvements and benefits,To make improvements,Summarize Code Object Change,summarize Code Object Change,Object of change,Change list,,,,,,,,,,,
6972,simpler / shorter option names for user,Imply Necessity,Illustrate Requirement,Improvements and benefits,Usage need,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
308900,replaced kmeans_kwargs with some useful k - means parameters,Imply Necessity,Imply Necessity,Improvements and benefits,"Relation to an implemented
 feature",Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
163239,Don ' t use StringType - - always test for basestring .,Imply Necessity,Missing Why,Conventions and standards,Missing Why,Describe Implementation Principle,Describe Implementation Principle,Describe Implementation Principle,Describe Implementation Principle,,,,,,,,,,,
167619,Don ' t automatically include a data / directory .,Imply Necessity,Trivial Why,Conventions and standards,Code refactoring,Describe Implementation Principle,Illustrate Function,Describe Implementation Principle,Illustrate Function,,,,,,,,,,,
46528,Python style conformance : Delete spaces between name of function and arglist .,Imply Necessity,Trivial Why,Conventions and standards,Code refactoring,Describe Implementation Principle,Summarize Code Object Change,Describe Implementation Principle,Object of change,,,,,,,,,,,
233405,Move imports to top for canary ( ),Imply Necessity,Trivial Why,"Relation to an implemented
 feature",Code refactoring,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
11238,More Buffer protocol fixes .,Missing Why,Describe Objective,Missing Why,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
321992,"Refine implementation , fix ' shouldShow ' condition , fix eslint warnings",Missing Why,Describe Objective,Missing Why,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,
241522,Make zone entries work without radius ( ),Missing Why,Describe Objective,Missing Why,To make improvements,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
96139,to clean ( transformer deepcopy ),Missing Why,Describe Objective,Missing Why,To make improvements,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
189759,added KiwiFarms,Missing Why,Describe Objective,Missing Why,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
299408,Finished WebAgg JS objectification & generalisations .,Missing Why,Describe Objective,Missing Why,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
78357,update build script,Missing Why,Illustrate Requirement,Missing Why,"Runtime or development
 environment change",Missing What,Trivial What,Missing What,Trivial What,,,,,,,,,,,
11002,migrations : Add reverser for emoji_alt_code migration .,Missing Why,Illustrate Requirement,Missing Why,Usage need,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes,,,,,,,,,,,
139375,Use one template for all user presence rows,Missing Why,Missing Why,Missing Why,Missing Why,Illustrate Function,Describe Implementation Principle,Illustrate Function,Describe Implementation Principle,,,,,,,,,,,
52378,Update plugwise to async and config_flow switch part ( ),Missing Why,missing Why,Missing Why,Missing Why,Illustrate Function,summarize Code Object Change,Illustrate Function,Change list,,,,,,,,,,,
152837,Disable Hue groups for new setups ( ),Missing Why,Missing Why,Missing Why,Missing Why,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
72898,merge,Missing Why,Missing Why,Missing Why,Missing Why,Missing What,Missing What,Missing What,Missing What,,,,,,,,,,,
87194,WIP : catch ValueError only,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
183196,Extract bloomsky binary_sensor,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
293557,using run_in_thread for scheduler and fetcher dispatch again,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
163652,Replacing list with generator compherension,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Contrast before and after,Object of change,,,,,,,,,,,
100103,Constrain sentence boundaries to IS_PUNCT and IS_SPACE tokens,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
110108,Remove ` . model ` usage in tests .,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
142093,Explicitly specify the dtype in np . full,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
166375,TransformFromCopy,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
172854,removed sample_mask parameter,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
202335,gluster_volume : add ' volume ' alias to ' name ' param ( ),Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
205288,add unregister_target to CommManagers,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
251148,Add Freeablo to Games / Engine Re - creations,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
299096,Add honeybadger_deployment module,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
211517,added param package to relative imports,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
18325,"Added InterruptLocust exception to API , and added it to API documentation .",Missing Why,Trivial Why,Missing Why,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
50650,Tslib unused ( ),Missing Why,Trivial Why,Missing Why,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
196646,DOC : tweak,Missing Why,Trivial Why,Missing Why,﻿Text file changes,Missing What,Trivial What,Missing What,Trivial What,,,,,,,,,,,
171083,add mention of github . com / ginsys / ansible - plugins in contrib . rst,Missing Why,Trivial Why,Missing Why,Text file changes,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
343869,Core Updates ( ),Missing Why,Trivial Why,Missing Why,Typographic fixes,Missing What,Summarize Code Object Change,Missing What,Change list,,,,,,,,,,,
220522,Update CHANGELOG . md ( ),Trivial Why,Describe Objective,Text file changes,Text file changes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
61540,BUG / DOC : Use correct close brace .,Trivial Why,Describe Objective,Typographic fixes,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
323547,added documentation for usetex,Trivial Why,Illustrate Requirement,Annotation changes,Improvements and benefits,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
50547,next version,Trivial Why,Illustrate Requirement,Version management,"Runtime or development
 environment change",Trivial What,Missing What,Trivial What,Missing What,,,,,,,,,,,
230284,Version as v2 . 0 . 10 . dev0,Trivial Why,Illustrate Requirement,Version management,"Runtime or development
 environment change",Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
93670,Conform the new module to / the / C style .,Trivial Why,Imply Necessity,Code refactoring,Conventions and standards,Trivial What,Describe Implementation Principle,Trivial What,Describe Implementation Principle,,,,,,,,,,,
157514,docs : Add message editing policy to prod security section .,Trivial Why,Missing Why,Annotation changes,Missing Why,Trivial What,Illustrate Function,Trivial What,Illustrate Function,,,,,,,,,,,
196166,Add reminder comment for future removal,Trivial Why,Trivial Why,Annotation changes,Code refactoring,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
170712,Backport PR : Reword the LockDraw docstring .,Trivial Why,Trivial Why,Annotation changes,Code refactoring,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
298597,DOC Fix formating in docstrings _regression . py ( ),Trivial Why,Trivial Why,Annotation changes,Code refactoring,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,
61574,Backport PR : Document preference order for backend auto selection,Trivial Why,Trivial Why,Annotation changes,Text file changes,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
328390,The patterns document is now it ' s own chapter since it applies to playbooks and / usr / bin / ansible alike .,Trivial Why,Trivial Why,Annotation changes,Text file changes,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
92879,Remove commented lines,Trivial Why,Trivial Why,Annotation changes,Text file changes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
279353,Rename and add tests utils . chdir - > utils . work_in,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,
312106,send_password_reset_email . py : Migrate to send_mail from EmailMultiAlternatives .,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Contrast before and after,Object of change,,,,,,,,,,,
22186,simplified some scrapy . log implementation code,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes,,,,,,,,,,,
118991,Remove unnecessary calls to float ( ) before division .,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
332843,code tidy,Trivial Why,Trivial Why,Code refactoring,﻿Code refactoring,Trivial What,Missing What,Code refactoring,Missing What,,,,,,,,,,,
343167,Adds a test that task load failures trackbacks are sent to the scheduler,Trivial Why,Trivial Why,Test cases,Test cases,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
279072,TST : add a test for tight_layout warning,Trivial Why,Trivial Why,Test cases,Test cases,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
136048,tests : Add check for duplicate items in check_events_dict .,Trivial Why,Trivial Why,Test cases,Test cases,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
80843,[ BR ] Add basic test,Trivial Why,Trivial Why,Test cases,Test cases,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
188028,Added appendix with selected BIPs . Converted from mediawiki using pandoc and edited manually,Trivial Why,Trivial Why,Text file changes,Text file changes,Summarize Code Object Change,Describe Implementation Principle,Object of change,Describe Implementation Principle,,,,,,,,,,,
359234,Update boot2docker instructions,Trivial Why,Trivial Why,Text file changes,Text file changes,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
323873,fix typos in comments,Trivial Why,Trivial Why,Typographic fixes,Typographic fixes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
82721,Merge pull request from Kriechi / fix - cookies,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
197007,Merge pull request from mdboom / mathtext_missing_symbols,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
201855,Merge pull request from stecklin / ner - fine - tuning,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
295939,Merge pull request from ahaldane / fix_style_arg,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
329421,Merge pull request from KTAtkinson / issue_6175,Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
63045,"Merged revisions 85586 - 85587 , 85596 - 85598 via svnmerge from",Trivial Why,Trivial Why,Version management,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
